,Student_ID,Name,Age,Gender,Location,Enrolment_Date,Course_ID,Time_Spent_Minutes,Completion_Percentage,Rating,Feedback_Text
0,S001,Student_1,24,Female,Kolkata,24/11/2023,DM101,155,88.87,,
1,S001,Student_1,24,Female,Kolkata,24/11/2023,PY202,90,46.1,,
2,S001,Student_1,24,Female,Kolkata,24/11/2023,UX303,177,54.93,,
3,S002,Student_2,32,Other,Chennai,27/02/2023,DM101,88,71.35,,
4,S002,Student_2,32,Other,Chennai,27/02/2023,PY202,181,32.2,3,Well structured
5,S002,Student_2,32,Other,Chennai,27/02/2023,UX303,216,90.8,,
6,S002,Student_2,32,Other,Chennai,27/02/2023,WD404,292,99.76,,
7,S003,Student_3,28,Other,Mumbai,13/01/2023,DM101,180,53.97,,
8,S003,Student_3,28,Other,Mumbai,13/01/2023,PY202,118,88.35,,
9,S003,Student_3,28,Other,Mumbai,13/01/2023,UX303,139,64.81,,
10,S003,Student_3,28,Other,Mumbai,13/01/2023,WD404,146,78.93,,
12,S004,Student_4,25,Female,Bangalore,21/05/2023,PY202,138,99.56,,
13,S004,Student_4,25,Female,Bangalore,21/05/2023,UX303,142,50.63,,
14,S004,Student_4,25,Female,Bangalore,21/05/2023,WD404,200,77.97,,
15,S005,Student_5,24,Other,Delhi,6/5/2023,DM101,27,91.49,4,Loved the examples
16,S005,Student_5,24,Other,Delhi,6/5/2023,PY202,62,73.71,,
17,S005,Student_5,24,Other,Delhi,6/5/2023,UX303,141,31.42,,
18,S005,Student_5,24,Other,Delhi,6/5/2023,WD404,279,82.67,,
19,S006,Student_6,28,Other,Delhi,25/04/2023,DM101,595,99.94,1,Loved the examples
20,S006,Student_6,28,Other,Delhi,25/04/2023,WD404,276,87.75,,
21,S007,Student_7,28,Male,Chennai,13/03/2023,DM101,148,15.49,,
22,S007,Student_7,28,Male,Chennai,13/03/2023,PY202,514,98.68,,
23,S007,Student_7,28,Male,Chennai,13/03/2023,UX303,105,62.58,,
24,S007,Student_7,28,Male,Chennai,13/03/2023,WD404,170,91.22,,
26,S008,Student_8,21,Other,Bangalore,22/02/2023,UX303,229,93.61,,
27,S008,Student_8,21,Other,Bangalore,22/02/2023,WD404,159,60.87,,
28,S009,Student_9,25,Other,Kolkata,13/12/2023,DM101,316,99.86,,
29,S009,Student_9,25,Other,Kolkata,13/12/2023,PY202,82,24.2,,
30,S009,Student_9,25,Other,Kolkata,13/12/2023,UX303,99,89.28,4,Well structured
31,S010,Student_10,20,Female,Bangalore,7/10/2023,DM101,449,48.12,,
32,S010,Student_10,20,Female,Bangalore,7/10/2023,PY202,62,71.87,,
33,S010,Student_10,20,Female,Bangalore,7/10/2023,UX303,145,40.02,,
35,S011,Student_11,19,Female,Chennai,14/02/2023,PY202,61,85.11,5,Needs improvement
36,S011,Student_11,19,Female,Chennai,14/02/2023,UX303,224,59.65,,
37,S011,Student_11,19,Female,Chennai,14/02/2023,WD404,12,20.07,,
38,S012,Student_12,29,Male,Chennai,30/10/2023,DM101,267,89.57,,
39,S012,Student_12,29,Male,Chennai,30/10/2023,PY202,55,89.33,,
40,S012,Student_12,29,Male,Chennai,30/10/2023,WD404,122,93.32,,
41,S013,Student_13,23,Other,Bangalore,5/8/2023,PY202,115,69.4,,
42,S013,Student_13,23,Other,Bangalore,5/8/2023,UX303,371,96.63,,
43,S013,Student_13,23,Other,Bangalore,5/8/2023,WD404,81,87.79,,
44,S014,Student_14,19,Other,Chennai,17/01/2023,DM101,579,49.11,,
45,S014,Student_14,19,Other,Chennai,17/01/2023,PY202,120,16.3,,
46,S014,Student_14,19,Other,Chennai,17/01/2023,UX303,255,98.58,2,Excellent instructor
47,S015,Student_15,18,Other,Bangalore,16/01/2023,DM101,83,28.92,3,Needs improvement
48,S015,Student_15,18,Other,Bangalore,16/01/2023,PY202,544,94.63,,
