S.L No,CustomerID,Gender,Location,Transaction_ID,Transaction_Date,Product_SKU,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,GST,Offline_Spend,Online_Spend,Month,Discount_pct
0,17850,M,Chicago,16679,1-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,2424.5,1,10
1,17850,M,Chicago,16680,1-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,2424.5,1,10
2,17850,M,Chicago,16696,1-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,4500,2424.5,1,10
3,17850,M,Chicago,16699,1-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,81.5,6.5,0.1,4500,2424.5,1,10
4,17850,M,Chicago,16700,1-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,2424.5,1,10
5,17850,M,Chicago,16701,1-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,2424.5,1,10
6,17850,M,Chicago,16702,1-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,4500,2424.5,1,10
7,17850,M,Chicago,16703,1-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2,81.5,6.5,0.1,4500,2424.5,1,10
8,17850,M,Chicago,16704,1-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,256.88,6.5,0.1,4500,2424.5,1,10
9,17850,M,Chicago,16710,1-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,28.78,0.1,4500,2424.5,1,10
10,17850,M,Chicago,16713,1-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,2424.5,1,10
11,17850,M,Chicago,16719,1-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,2424.5,1,10
12,17850,M,Chicago,16720,1-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,2424.5,1,10
13,17850,M,Chicago,16720,1-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,2424.5,1,10
14,17850,M,Chicago,16721,1-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,2424.5,1,10
15,17850,M,Chicago,16722,1-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,2424.5,1,10
16,17850,M,Chicago,16722,1-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,4500,2424.5,1,10
17,17850,M,Chicago,16723,1-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,2424.5,1,10
18,17850,M,Chicago,16723,1-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,2424.5,1,10
19,17850,M,Chicago,16724,1-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,2424.5,1,10
20,17850,M,Chicago,16725,1-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,2424.5,1,10
21,17850,M,Chicago,16727,1-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,2424.5,1,10
22,17850,M,Chicago,16731,1-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,4500,2424.5,1,10
23,13047,M,California,16684,1-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,4500,2424.5,1,10
24,13047,M,California,16684,1-Jan-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,81.5,6.5,0.1,4500,2424.5,1,10
25,13047,M,California,16688,1-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,2424.5,1,10
26,13047,M,California,16689,1-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,2424.5,1,10
27,12583,M,Chicago,16694,1-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,4500,2424.5,1,10
28,15100,M,California,16712,1-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,4500,2424.5,1,10
